file,id,title,author,year,axis_t,r2_priority,r2_tradition,r2_role
未央歌.md,WL-WORK-1150,未央歌,鹿桥,,,,,
本巴.md,WL-WORK-2893,本巴,刘亮程,read_status: 未读,T6 当代全球文学,,,
本阵杀人事件.md,WL-WORK-0151,本阵杀人事件,横沟正史,,T5 二战后多极文学,,,
机械.md,WL-WORK-1742,机械,横光利一,,T4 全球现代主义时代,,,
李白诗选.md,WL-WORK-3183,李白诗选,李白,read_status: 未读,T1 中古多中心文学世界,,,
李自成.md,WL-WORK-1156,李自成,姚雪垠,1999,T6 当代全球文学,,,
杜甫诗选.md,WL-WORK-3184,杜甫诗选,杜甫,read_status: 未读,T1 中古多中心文学世界,,,
来不及说我爱你.md,WL-WORK-2084,来不及说我爱你,匪我思存,,T6 当代全球文学,,,
杨家将.md,WL-WORK-2733,杨家将,熊大木,,T2 早期现代文学,,,
杯雪.md,WL-WORK-2545,杯雪,小椴,,T6 当代全球文学,,,
枕草子.md,WL-WORK-2810,枕草子,清少纳言,read_status: 未读,T1 中古多中心文学世界,,,
林家铺子.md,WL-WORK-2771,林家铺子,茅盾,1932,T4 全球现代主义时代,,,
林海雪原.md,WL-WORK-1745,林海雪原,曲波,,T5 二战后多极文学,,,
枭之城.md,WL-WORK-2548,枭之城,司马辽太郎,,T5 二战后多极文学,,,
柳生忍法帖.md,WL-WORK-2549,柳生忍法帖,山田风太郎,,T5 二战后多极文学,,,
柳生武艺帐.md,WL-WORK-2550,柳生武艺帐,五味康祐,,T5 二战后多极文学,,,
格萨尔王传.md,WL-WORK-1474,格萨尔王传,佚名,,T1 中古多中心文学世界,,,
桃花扇.md,WL-WORK-2816,桃花扇,孔尚任,read_status: 未读,T2 早期现代文学,,,
梅雨之夕.md,WL-WORK-1749,梅雨之夕,施蛰存,,T4 全球现代主义时代,,,
梦里花落知多少.md,WL-WORK-2756,梦里花落知多少,郭敬明,,T6 当代全球文学,,,
楚留香：血海飘香.md,WL-WORK-2551,楚留香：血海飘香,古龙,,T5 二战后多极文学,,,
楚辞.md,WL-WORK-2814,楚辞,屈原等,read_status: 未读,T0 文学源头与古代文学,,,
楚辞·九歌.md,WL-WORK-1477,楚辞·九歌,屈原,,T0 文学源头与古代文学,,,
楚辞·天问.md,WL-WORK-1478,楚辞·天问,屈原,,T0 文学源头与古代文学,,,
楼兰.md,WL-WORK-1165,楼兰,井上靖,,T5 二战后多极文学,,,
樅ノ木は残った.md,WL-WORK-2553,樅ノ木は残った,山本周五郎,,T5 二战后多极文学,,,
模仿犯.md,WL-WORK-0170,模仿犯,宫部美雪,,T6 当代全球文学,,,
檀香刑.md,WL-WORK-1167,檀香刑,莫言,,T6 当代全球文学,,,
欢乐英雄.md,WL-WORK-2554,欢乐英雄,古龙,,T5 二战后多极文学,,,
武士.md,WL-WORK-1169,武士,远藤周作,,T6 当代全球文学,,,
武士的一分.md,WL-WORK-2556,武士的一分,藤泽周平,1978,T5 二战后多极文学,,,
武士道：日本的灵魂.md,WL-WORK-2557,武士道：日本的灵魂,新渡户稻造,,,,,
武家义理物语.md,WL-WORK-2558,武家义理物语,井原西鹤,,,,,
武州公秘话.md,WL-WORK-2559,武州公秘话,谷崎润一郎,,T4 全球现代主义时代,,,
武田信玄.md,WL-WORK-2560,武田信玄,新田次郎,,,,,
武道传来记.md,WL-WORK-2561,武道传来记,井原西鹤,,,,,
武道初心集.md,WL-WORK-2562,武道初心集,大道寺友山,,,,,
死亡叙述.md,WL-WORK-2787,死亡叙述,余华,1988,T6 当代全球文学,,,
死神永生.md,WL-WORK-0464,死神永生,刘慈欣,,T6 当代全球文学,,,
水族馆之谜.md,WL-WORK-0204,水族馆之谜,青崎有吾,,T6 当代全球文学,,,
水浒传.md,WL-WORK-1175,水浒传,施耐庵,,T2 早期现代文学,,,
水浒后传.md,WL-WORK-2563,水浒后传,陈忱,,T2 早期现代文学,,,
水车馆事件.md,WL-WORK-0180,水车馆事件,绫辻行人,,T6 当代全球文学,,,
江南三部曲.md,WL-WORK-2882,江南三部曲,格非,read_status: 未读,T6 当代全球文学,,,
江湖夜雨十年灯.md,WL-WORK-2564,江湖夜雨十年灯,诸葛青云,,T5 二战后多极文学,,,
江湖奇侠传.md,WL-WORK-2565,江湖奇侠传,平江不肖生,,,,,
沉重的翅膀.md,WL-WORK-2861,沉重的翅膀,张洁,read_status: 未读,T6 当代全球文学,,,
沉默.md,WL-WORK-1179,沉默,远藤周作,,T5 二战后多极文学,,,
沧浪之水.md,WL-WORK-2676,沧浪之水,阎真,,T6 当代全球文学,,,
沧海.md,WL-WORK-2566,沧海,凤歌,,T6 当代全球文学,,,
河边的错误.md,WL-WORK-2692,河边的错误,余华,1988,T6 当代全球文学,,,
洛阳女儿行.md,WL-WORK-2567,洛阳女儿行,小椴,,T6 当代全球文学,,,
活着.md,WL-WORK-1187,活着,余华,1992,T6 当代全球文学,,,
流浪地球.md,WL-WORK-0461,流浪地球,刘慈欣,,T6 当代全球文学,,,
流浪苍穹.md,WL-WORK-0467,流浪苍穹,郝景芳,,T6 当代全球文学,,,
浅草红团.md,WL-WORK-1769,浅草红团,川端康成,,T4 全球现代主义时代,,,
浮云.md,WL-WORK-T3-UKIGUMO,浮云,二叶亭四迷,,T3 19世纪现代文学体系,,,
浮生六记.md,WL-WORK-2688,浮生六记,沈复,,T2 早期现代文学,,,
海与毒药.md,WL-WORK-1188,海与毒药,远藤周作,,T5 二战后多极文学,,,
海边的卡夫卡.md,WL-WORK-2691,海边的卡夫卡,村上春树,,T6 当代全球文学,,,
湖光山色.md,WL-WORK-2877,湖光山色,周大新,read_status: 未读,T6 当代全球文学,,,
源氏物语.md,WL-WORK-1196,源氏物语,紫式部,,T1 中古多中心文学世界,,,
满愿.md,WL-WORK-0201,满愿,米泽穗信,,T6 当代全球文学,,,
火车.md,WL-WORK-0168,火车,宫部美雪,,T6 当代全球文学,,,
点与线.md,WL-WORK-0161,点与线,松本清张,,T5 二战后多极文学,,,
燃烧吧剑.md,WL-WORK-1205,燃烧吧剑,司马辽太郎,,T5 二战后多极文学,,,
爱与痛的边缘.md,WL-WORK-2754,爱与痛的边缘,郭敬明,,T6 当代全球文学,,,
牛棚杂忆.md,WL-WORK-2708,牛棚杂忆,季羡林,,T6 当代全球文学,,,
牡丹亭.md,WL-WORK-2097,牡丹亭,汤显祖,,T2 早期现代文学,,,
牵风记.md,WL-WORK-2888,牵风记,徐怀中,read_status: 未读,T6 当代全球文学,,,
犬神家族.md,WL-WORK-0153,犬神家族,横沟正史,,T5 二战后多极文学,,,
独眼少女.md,WL-WORK-0195,独眼少女,麻耶雄嵩,,T6 当代全球文学,,,
独行道.md,WL-WORK-2571,独行道,宫本武藏,,,,,
狱门岛.md,WL-WORK-0152,狱门岛,横沟正史,,T5 二战后多极文学,,,
狼牙.md,WL-WORK-2768,狼牙,刘猛,,T6 当代全球文学,,,
猫城记.md,WL-WORK-0452,猫城记,老舍,,T4 全球现代主义时代,,,
玉钗盟.md,WL-WORK-2572,玉钗盟,梁羽生,,T5 二战后多极文学,,,
现实一种.md,WL-WORK-2789,现实一种,余华,1988,T6 当代全球文学,,,
珊瑚岛上的死光.md,WL-WORK-0453,珊瑚岛上的死光,童恩正,,,,,
球状闪电.md,WL-WORK-0460,球状闪电,刘慈欣,,T6 当代全球文学,,,
理由.md,WL-WORK-0169,理由,宫部美雪,,T6 当代全球文学,,,
甘十九妹.md,WL-WORK-2574,甘十九妹,萧逸,,T5 二战后多极文学,,,
生命之歌.md,WL-WORK-0455,生命之歌,王晋康,,,,,
生命册.md,WL-WORK-2884,生命册,李佩甫,read_status: 未读,T6 当代全球文学,,,
生死疲劳.md,WL-WORK-1218,生死疲劳,莫言,,T6 当代全球文学,,,
甲贺忍法帖.md,WL-WORK-2576,甲贺忍法帖,山田风太郎,,T5 二战后多极文学,,,
画眉鸟.md,WL-WORK-2577,画眉鸟,古龙,,T5 二战后多极文学,,,
病隙碎笔.md,WL-WORK-2674,病隙碎笔,史铁生,,T6 当代全球文学,,,
痴人之爱.md,WL-WORK-1807,痴人之爱,谷崎润一郎,,T4 全球现代主义时代,,,
白发魔女传.md,WL-WORK-2579,白发魔女传,梁羽生,,T5 二战后多极文学,,,
白夜行.md,WL-WORK-0212,白夜行,东野圭吾,,T6 当代全球文学,,,
白门柳.md,WL-WORK-1223,白门柳,刘斯奋,1997,T6 当代全球文学,,,
白马啸西风.md,WL-WORK-2581,白马啸西风,金庸,,T5 二战后多极文学,,,
白鹿原.md,WL-WORK-1224,白鹿原,陈忠实,1993,T6 当代全球文学,,,
百亿昼与千亿夜.md,WL-WORK-0445,百亿昼与千亿夜,光濑龙,,,,,
皮囊.md,WL-WORK-2710,皮囊,蔡崇达,,T6 当代全球文学,,,
盗墓笔记.md,WL-WORK-2741,盗墓笔记,南派三叔,,T6 当代全球文学,,,
盘龙.md,WL-WORK-0787,盘龙,我吃西红柿,,T6 当代全球文学,,,
盛世.md,WL-WORK-1226,盛世,陈冠中,,T6 当代全球文学,,,
盛世：中国2013年.md,WL-WORK-1227,盛世：中国2013年,陈冠中,,T6 当代全球文学,,,
目送.md,WL-WORK-2704,目送,龙应台,,T6 当代全球文学,,,
盲剑.md,WL-WORK-2582,盲剑,藤泽周平,,T5 二战后多极文学,,,
真田太平记.md,WL-WORK-2583,真田太平记,池波正太郎,1982,T6 当代全球文学,,,
真空地带.md,WL-WORK-2107,真空地带,野间宏,,T5 二战后多极文学,,,
石钟山记.md,WL-WORK-1489,石钟山记,苏轼,,T1 中古多中心文学世界,,,
砂器.md,WL-WORK-0163,砂器,松本清张,,T5 二战后多极文学,,,
砂女.md,WL-WORK-1815,砂女,安部公房,1962,T5 二战后多极文学,,,
破狱.md,WL-WORK-1230,破狱,吉村昭,,T6 当代全球文学,,,
碧血剑.md,WL-WORK-2584,碧血剑,金庸,,T5 二战后多极文学,,,
神雕侠侣.md,WL-WORK-2585,神雕侠侣,金庸,,T5 二战后多极文学,,,
离婚.md,WL-WORK-2697,离婚,老舍,,T4 全球现代主义时代,,,
秋.md,WL-WORK-1235,秋,巴金,,T4 全球现代主义时代,,,
秦腔.md,WL-WORK-2875,秦腔,贾平凹,read_status: 未读,T6 当代全球文学,,,
穆斯林的葬礼.md,WL-WORK-2705,穆斯林的葬礼,霍达,,T6 当代全球文学,,,
穿越时空的少女.md,WL-WORK-0443,穿越时空的少女,筒井康隆,,,,,
窗外.md,WL-WORK-2108,窗外,琼瑶,,T5 二战后多极文学,,,
窗边的小豆豆.md,WL-WORK-2680,窗边的小豆豆,黑柳彻子,,T6 当代全球文学,,,
竹林中.md,WL-WORK-2109,竹林中,芥川龙之介,,T4 全球现代主义时代,,,
笑傲江湖.md,WL-WORK-2589,笑傲江湖,金庸,,T5 二战后多极文学,,,
第一炉香.md,WL-WORK-2111,第一炉香,张爱玲,literary_traditions: [],T4 全球现代主义时代,,,
第七天.md,WL-WORK-2682,第七天,余华,2013,T6 当代全球文学,,,
第二个太阳.md,WL-WORK-2864,第二个太阳,刘白羽,read_status: 未读,T6 当代全球文学,,,
第四间冰期.md,WL-WORK-0441,第四间冰期,安部公房,,T5 二战后多极文学,,,
等待的岁月.md,WL-WORK-1242,等待的岁月,圆地文子,,T2 早期现代文学,,,
精灵守护者.md,WL-WORK-0795,精灵守护者,上桥菜穗子,,,,,
素食者.md,WL-WORK-2721,素食者,韩江,2007,T6 当代全球文学,,,
紫丁香庄事件.md,WL-WORK-0160,紫丁香庄事件,鲇川哲也,,T5 二战后多极文学,,,
紫电青霜.md,WL-WORK-2591,紫电青霜,诸葛青云,,T5 二战后多极文学,,,
繁花.md,WL-WORK-2885,繁花,金宇澄,read_status: 未读,T6 当代全球文学,,,
红拂夜奔.md,WL-WORK-2693,红拂夜奔,王小波,,T6 当代全球文学,,,
红楼梦.md,WL-WORK-1252,红楼梦,曹雪芹,,T2 早期现代文学,,,
红玫瑰与白玫瑰.md,WL-WORK-2114,红玫瑰与白玫瑰,张爱玲,,T4 全球现代主义时代,,,
红线传.md,WL-WORK-2594,红线传,袁郊,,,,,
红色海洋.md,WL-WORK-0457,红色海洋,韩松,,,,,
红辣椒.md,WL-WORK-0444,红辣椒,筒井康隆,,,,,
红高粱家族.md,WL-WORK-1255,红高粱家族,莫言,,T6 当代全球文学,,,
纪之川.md,WL-WORK-1257,纪之川,有吉佐和子,,T5 二战后多极文学,,,
组织部来了个年轻人.md,WL-WORK-1830,组织部来了个年轻人,王蒙,,T5 二战后多极文学,,,
细雪.md,WL-WORK-1258,细雪,谷崎润一郎,1948,T5 二战后多极文学,,,
绝代双骄.md,WL-WORK-2598,绝代双骄,古龙,,T5 二战后多极文学,,,
绣花大盗.md,WL-WORK-2599,绣花大盗,陆小凤,,,,,
续小五义.md,WL-WORK-2600,续小五义,石玉昆,,T3 19世纪现代文学体系,,,
罗生门·鼻.md,WL-WORK-2818,罗生门·鼻,芥川龙之介,read_status: 未读,T4 全球现代主义时代,,,
老师好美.md,WL-WORK-2767,老师好美,严歌苓,literary_traditions: [],T6 当代全球文学,,,
聂隐娘.md,WL-WORK-2603,聂隐娘,裴铏,,,,,
聊斋志异.md,WL-WORK-0816,聊斋志异,蒲松龄,,T2 早期现代文学,,,
能面杀人事件.md,WL-WORK-0158,能面杀人事件,高木彬光,,T5 二战后多极文学,,,
致我们终将逝去的青春.md,WL-WORK-2123,致我们终将逝去的青春,辛夷坞,,T6 当代全球文学,,,
致青春.md,WL-WORK-2758,致青春,辛夷坞,,T6 当代全球文学,,,
艳阳天.md,WL-WORK-1839,艳阳天,浩然,,T5 二战后多极文学,,,
芋虫.md,WL-WORK-0819,芋虫,江户川乱步,,T4 全球现代主义时代,,,
芙蓉镇.md,WL-WORK-2858,芙蓉镇,古华,read_status: 未读,T6 当代全球文学,,,
花千骨.md,WL-WORK-2744,花千骨,果果,,T6 当代全球文学,,,
芳华.md,WL-WORK-2125,芳华,严歌苓,,T6 当代全球文学,,,
芽むしり仔撃ち ／ 摘芽弃子.md,WL-WORK-1272,芽むしり仔撃ち / 摘芽弃子,大江健三郎,,T5 二战后多极文学,,,
英雄志.md,WL-WORK-2606,英雄志,孙晓,,,,,
英雄无泪.md,WL-WORK-2607,英雄无泪,古龙,,T5 二战后多极文学,,,
英雄时代.md,WL-WORK-2873,英雄时代,柳建伟,read_status: 未读,T6 当代全球文学,,,
茶人三部曲.md,WL-WORK-2869,茶人三部曲,王旭烽,read_status: 未读,T6 当代全球文学,,,
茶馆.md,WL-WORK-2678,茶馆,老舍,,T5 二战后多极文学,,,
草.md,WL-WORK-2677,草,韩寒,,T6 当代全球文学,,,
荒潮.md,WL-WORK-0465,荒潮,陈楸帆,,,,,
萍踪侠影录.md,WL-WORK-2609,萍踪侠影录,梁羽生,,T5 二战后多极文学,,,
蓼喰虫.md,WL-WORK-1855,蓼喰虫,谷崎润一郎,,T4 全球现代主义时代,,,
虐杀器官.md,WL-WORK-0447,虐杀器官,伊藤计划,,,,,
虬髯客传.md,WL-WORK-2611,虬髯客传,杜光庭,,,,,
蚁生.md,WL-WORK-0456,蚁生,王晋康,,,,,
蛙.md,WL-WORK-2880,蛙,莫言,read_status: 未读,T6 当代全球文学,,,
蜀山剑侠传.md,WL-WORK-2612,蜀山剑侠传,研究现代中国通俗小说时,,,,,
蝉时雨.md,WL-WORK-2613,蝉时雨,藤泽周平,,T6 当代全球文学,,,
螺旋.md,WL-WORK-0834,螺旋,铃木光司,,T6 当代全球文学,,,
血海飘香.md,WL-WORK-2614,血海飘香,古龙,,T5 二战后多极文学,,,
被嫌弃的松子的一生.md,WL-WORK-2673,被嫌弃的松子的一生,山田宗树,,T6 当代全球文学,,,
西厢记.md,WL-WORK-2132,西厢记,王实甫,,T1 中古多中心文学世界,,,
西游记.md,WL-WORK-0838,西游记,吴承恩,,T2 早期现代文学,,,
覆雨翻云.md,WL-WORK-2617,覆雨翻云,黄易,,T6 当代全球文学,,,
解密.md,WL-WORK-2695,解密,麦家,,T6 当代全球文学,,,
解忧杂货店.md,WL-WORK-2763,解忧杂货店,东野圭吾,,T6 当代全球文学,,,
记忆警察.md,WL-WORK-1287,记忆警察,小川洋子,,T6 当代全球文学,,,
许三观卖血记.md,WL-WORK-2732,许三观卖血记,余华,1995,T6 当代全球文学,,,
许茂和他的女儿们.md,WL-WORK-2855,许茂和他的女儿们,周克芹,read_status: 未读,T6 当代全球文学,,,
论语.md,WL-WORK-T0-ANALECTS,论语,孔子弟子及再传弟子编纂,,T0 文学源头与古代文学,,,
诗经.md,WL-WORK-2133,诗经,佚名,,T0 文学源头与古代文学,,,
诛仙.md,WL-WORK-0840,诛仙,萧鼎,,,,,
谢小娥传.md,WL-WORK-2619,谢小娥传,李公佐,,,,,
轨道之云.md,WL-WORK-0451,轨道之云,藤井太洋,,,,,
边城.md,WL-WORK-2138,边城,沈从文,,T4 全球现代主义时代,,,
边城浪子.md,WL-WORK-2620,边城浪子,古龙,,T5 二战后多极文学,,,
边荒传说.md,WL-WORK-2621,边荒传说,黄易,,T6 当代全球文学,,,
近代侠义英雄传.md,WL-WORK-2622,近代侠义英雄传,平江不肖生,,,,,
这边风景.md,WL-WORK-2883,这边风景,王蒙,read_status: 未读,T6 当代全球文学,,,
连城诀.md,WL-WORK-2623,连城诀,金庸,,T5 二战后多极文学,,,
迷宫馆事件.md,WL-WORK-0181,迷宫馆事件,绫辻行人,,T6 当代全球文学,,,
逆水寒.md,WL-WORK-2624,逆水寒,温瑞安,,T6 当代全球文学,,,
逝去的武林.md,WL-WORK-2625,逝去的武林,徐皓峰,,,,,
道士下山.md,WL-WORK-2626,道士下山,徐皓峰,,,,,
都市风流.md,WL-WORK-2863,都市风流,孙力、余小惠,read_status: 未读,T6 当代全球文学,,,
野性的证明.md,WL-WORK-0167,野性的证明,森村诚一,,T5 二战后多极文学,,,
野火.md,WL-WORK-1306,野火,大冈升平,,T5 二战后多极文学,,,
野草.md,WL-WORK-1890,野草,鲁迅,,T4 全球现代主义时代,,,
金剑雕翎.md,WL-WORK-2627,金剑雕翎,梁羽生,,T5 二战后多极文学,,,
金瓶梅.md,WL-WORK-1307,金瓶梅,兰陵笑笑生,,T2 早期现代文学,,,
金锁记.md,WL-WORK-1893,金锁记,张爱玲,,T4 全球现代主义时代,,,
金阁寺.md,WL-WORK-1894,金阁寺,三岛由纪夫,1956,T5 二战后多极文学,,,
金陵十三钗.md,WL-WORK-1310,金陵十三钗,严歌苓,,T6 当代全球文学,,,
钟表馆事件.md,WL-WORK-0182,钟表馆事件,绫辻行人,,T6 当代全球文学,,,
钟鼓楼.md,WL-WORK-2862,钟鼓楼,刘心武,read_status: 未读,T6 当代全球文学,,,
铁骑银瓶.md,WL-WORK-2629,铁骑银瓶,梁羽生,,T5 二战后多极文学,,,
银河铁道之夜.md,WL-WORK-2737,银河铁道之夜,宫泽贤治,,T4 全球现代主义时代,,,
镜花缘.md,WL-WORK-T3-JINGHUA-YUAN,镜花缘,李汝珍,,T3 19世纪现代文学体系,,,
长夜难明.md,WL-WORK-0245,长夜难明,紫金陈,,T6 当代全球文学,,,
长安古意.md,WL-WORK-2630,长安古意,小椴,,T6 当代全球文学,,,
长恨歌.md,WL-WORK-2868,长恨歌,王安忆,read_status: 未读,T6 当代全球文学,,,
阴兽.md,WL-WORK-0149,阴兽,江户川乱步,,T4 全球现代主义时代,,,
阴暗的绘画.md,WL-WORK-1898,阴暗的绘画,野间宏,,T5 二战后多极文学,,,
阿部一族.md,WL-WORK-2632,阿部一族,森鸥外,,T4 全球现代主义时代,,,
陆小凤传奇：金鹏王朝.md,WL-WORK-2633,陆小凤传奇：金鹏王朝,古龙,,T5 二战后多极文学,,,
陆犯焉识.md,WL-WORK-2147,陆犯焉识,严歌苓,,T6 当代全球文学,,,
陶渊明诗选.md,WL-WORK-3185,陶渊明诗选,陶渊明,read_status: 未读,T0 文学源头与古代文学,,,
隐剑孤影抄.md,WL-WORK-2634,隐剑孤影抄,藤泽周平,,T5 二战后多极文学,,,
隐剑秋风抄.md,WL-WORK-2635,隐剑秋风抄,藤泽周平,,T5 二战后多极文学,,,
难逃劫数.md,WL-WORK-2791,难逃劫数,余华,1988,T6 当代全球文学,,,
雅各布·冯·贡腾.md,WL-WORK-1905,雅各布·冯·贡腾,罗伯特·瓦尔泽,,,,,
雍正皇帝.md,WL-WORK-1320,雍正皇帝,二月河,,T6 当代全球文学,,,
雨月物语.md,WL-WORK-0869,雨月物语,上田秋成,,T2 早期现代文学,,,
雪中悍刀行.md,WL-WORK-2636,雪中悍刀行,烽火戏诸侯,,T6 当代全球文学,,,
雪之丞变化.md,WL-WORK-2637,雪之丞变化,三上於菟吉,,,,,
雪国.md,WL-WORK-1906,雪国,川端康成,,T4 全球现代主义时代,,,
雪山大地.md,WL-WORK-2891,雪山大地,杨志军,read_status: 未读,T6 当代全球文学,,,
雪山飞狐.md,WL-WORK-2638,雪山飞狐,金庸,,T5 二战后多极文学,,,
零的焦点.md,WL-WORK-0162,零的焦点,松本清张,,T5 二战后多极文学,,,
雷雨.md,WL-WORK-2696,雷雨,曹禺,,T4 全球现代主义时代,,,
霸王别姬.md,WL-WORK-2672,霸王别姬,李碧华,,T6 当代全球文学,,,
青年.md,WL-WORK-1322,青年,森鸥外,,T4 全球现代主义时代,,,
青春万岁.md,WL-WORK-1323,青春万岁,王蒙,,,,,
青春之歌.md,WL-WORK-1324,青春之歌,杨沫,,T5 二战后多极文学,,,
额尔古纳河右岸.md,WL-WORK-2876,额尔古纳河右岸,迟子建,read_status: 未读,T6 当代全球文学,,,
风土记.md,WL-WORK-1518,风土记,佚名,,T1 中古多中心文学世界,,,
风声.md,WL-WORK-2686,风声,麦家,,T6 当代全球文学,,,
风林火山.md,WL-WORK-1329,风林火山,井上靖,,T5 二战后多极文学,,,
飞向人马座.md,WL-WORK-0454,飞向人马座,郑文光,,,,,
飞燕惊龙.md,WL-WORK-2640,飞燕惊龙,卧龙生,,T5 二战后多极文学,,,
飞狐外传.md,WL-WORK-2641,飞狐外传,金庸,,T5 二战后多极文学,,,
饮马黄河.md,WL-WORK-2642,饮马黄河,司马翎,,T5 二战后多极文学,,,
饺子.md,WL-WORK-2694,饺子,李碧华,,T6 当代全球文学,,,
首尔，1964年冬.md,WL-WORK-1914,首尔，1964年冬,金承钰,,T5 二战后多极文学,,,
马鸣风萧萧.md,WL-WORK-2644,马鸣风萧萧,萧逸,,T5 二战后多极文学,,,
骆驼祥子.md,WL-WORK-2700,骆驼祥子,老舍,,T4 全球现代主义时代,,,
骚动之秋.md,WL-WORK-2866,骚动之秋,刘玉民,read_status: 未读,T6 当代全球文学,,,
鬼平犯科帐.md,WL-WORK-2649,鬼平犯科帐,池波正太郎,,T5 二战后多极文学,,,
魍魉之匣.md,WL-WORK-0191,魍魉之匣,京极夏彦,,T6 当代全球文学,,,
魔界转生.md,WL-WORK-2650,魔界转生,山田风太郎,,T5 二战后多极文学,,,
魔眼之匣谜案.md,WL-WORK-0206,魔眼之匣谜案,今村昌弘,,T6 当代全球文学,,,
鲜血梅花.md,WL-WORK-2652,鲜血梅花,余华,1989,T6 当代全球文学,,,
鸦之死.md,WL-WORK-1926,鸦之死,金石范,,T5 二战后多极文学,,,
鹤.md,WL-WORK-1927,鹤,黄顺元,,T5 二战后多极文学,,,
鹤惊昆仑.md,WL-WORK-2653,鹤惊昆仑,还珠楼主,,T4 全球现代主义时代,,,
鹰爪王.md,WL-WORK-2654,鹰爪王,郑证因,,,,,
鹿鼎记.md,WL-WORK-2655,鹿鼎记,金庸,,T5 二战后多极文学,,,
黄昏清兵卫.md,WL-WORK-2656,黄昏清兵卫,藤泽周平,,T6 当代全球文学,,,
黄昏里的男孩.md,WL-WORK-2808,黄昏里的男孩,余华,1997,T6 当代全球文学,,,
黄河东流去.md,WL-WORK-2860,黄河东流去,李准,read_status: 未读,T6 当代全球文学,,,
黄雀记.md,WL-WORK-2886,黄雀记,苏童,read_status: 未读,T6 当代全球文学,,,
黑暗森林.md,WL-WORK-0463,黑暗森林,刘慈欣,,T6 当代全球文学,,,
黑牢城.md,WL-WORK-0202,黑牢城,米泽穗信,,T6 当代全球文学,,,
黑色皮箱.md,WL-WORK-0159,黑色皮箱,鲇川哲也,,T5 二战后多极文学,,,
黑雨.md,WL-WORK-1339,黑雨,井伏鳟二,,T5 二战后多极文学,,,
齿轮.md,WL-WORK-1930,齿轮,川端康成,,T4 全球现代主义时代,,,
龙族.md,WL-WORK-2743,龙族,江南,,T6 当代全球文学,,,
龙虎斗京华.md,WL-WORK-2660,龙虎斗京华,还珠楼主,,T4 全球现代主义时代,,,
龙马行.md,WL-WORK-1341,龙马行,司马辽太郎,,T5 二战后多极文学,,,
