tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics
P2_EXTERNAL_MATCH_FRIENDLY,Grito de Gloria.md,WL-WORK-2236,Grito de Gloria,,阿塞韦多·迪亚斯,Acevedo Díaz,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
S_SPECIAL_TEXT,Guy of Warwick.md,WL-WORK-2237,Guy of Warwick,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Harmonium.md,WL-WORK-1532,Harmonium,,华莱士·史蒂文斯,Wallace Stevens,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM
P2_EXTERNAL_MATCH_FRIENDLY,Harvest Home.md,WL-WORK-0502,Harvest Home,,托马斯·特赖恩,Thomas Tryon,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,Her Privates We.md,WL-WORK-1964,Her Privates We,,弗雷德里克·曼宁,Frederic Manning,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,Hood.md,WL-WORK-2240,Hood,,斯蒂芬·R.劳黑德,Stephen R. Lawhead,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Hormiga Negra.md,WL-WORK-2241,Hormiga Negra,,爱德华多·古铁雷斯,Eduardo Gutiérrez,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P1_CANON_AWARD,House Made of Dawn.md,WL-WORK-2243,House Made of Dawn,,N.斯科特·莫马迪,N. Scott Momaday,,WL-AWARD-PULITZER-FICTION,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,How Much of These Hills Is Gold.md,WL-WORK-2244,How Much of These Hills Is Gold,,张沧畔,C Pam Zhang,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,How the Soldier Repairs the Gramophone.md,WL-WORK-1965,How the Soldier Repairs the Gramophone,,萨沙·斯塔尼希奇,Saša Stanišić,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,Human Sacrifices.md,WL-WORK-0503,Human Sacrifices,,玛丽亚·费尔南达·安普埃罗,María Fernanda Ampuero,,,batch1_source_refs,WL-TOPIC-G45-HORROR
S_SPECIAL_TEXT,Huon de Bordeaux.md,WL-WORK-2245,Huon de Bordeaux,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,I Will Repay.md,WL-WORK-2246,I Will Repay,,奥希兹男爵夫人,Baroness Orczy,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER
P3_GENERAL_REVIEW,I'm Waiting for You and Other Stories.md,WL-WORK-0480,I'm Waiting for You and Other Stories,,金宝英,,,,,WL-TOPIC-G45-SF
P3_GENERAL_REVIEW,If I Die in a Combat Zone.md,WL-WORK-1966,If I Die in a Combat Zone,,美国一侧,,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,In Flanders Fields.md,WL-WORK-1967,In Flanders Fields,,约翰·麦克雷,John McCrae,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,In Parenthesis.md,WL-WORK-1968,In Parenthesis,,戴维·琼斯,David Jones,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,Indigo.md,WL-WORK-1969,Indigo,,贝弗利·詹金斯,Beverly Jenkins,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Inland.md,WL-WORK-2248,Inland,,特娅·奥布雷赫特,Téa Obreht,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Ismael.md,WL-WORK-2249,Ismael,,阿塞韦多·迪亚斯,Acevedo Díaz,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Iwein.md,WL-WORK-2250,Iwein,,哈特曼·冯·奥埃,Hartmann,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Jawbone.md,WL-WORK-0505,Jawbone,,莫妮卡·奥赫达,Mónica Ojeda,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,Jennifer Government.md,WL-WORK-0931,Jennifer Government,,马克斯·巴里,Max Barry,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA
P2_EXTERNAL_MATCH_FRIENDLY,Jerilderie Letter.md,WL-WORK-2251,Jerilderie Letter,,内德·凯利,Ned Kelly,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Joseph d'Arimathie.md,WL-WORK-2253,Joseph d'Arimathie,,罗贝尔·德·博龙,Robert de Boron,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Juan Cuello.md,WL-WORK-2254,Juan Cuello,,爱德华多·古铁雷斯,Eduardo Gutiérrez,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Juan Moreira.md,WL-WORK-2255,Juan Moreira,,爱德华多·古铁雷斯,Gutiérrez,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Just Like Home.md,WL-WORK-0506,Just Like Home,,萨拉·盖利,Sarah Gailey,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,Kalpa Imperial.md,WL-WORK-0472,Kalpa Imperial,,安赫利卡·戈罗迪舍尔,Angélica Gorodischer,,,,WL-TOPIC-G45-SF
P2_EXTERNAL_MATCH_FRIENDLY,Kaputt.md,WL-WORK-1971,Kaputt,,库尔齐奥·马拉帕尔特,Curzio Malaparte,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,Kernok the Pirate.md,WL-WORK-2256,Kernok the Pirate,,欧仁·苏,Eugène Sue,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE
P2_EXTERNAL_MATCH_FRIENDLY,Kintu.md,WL-WORK-0932,Kintu,,珍妮弗·南布西·马昆比,与Makumbi,,,batch2_source_refs,WL-TOPIC-G43-FAMILY
P2_EXTERNAL_MATCH_FRIENDLY,Kushiel's Dart.md,WL-WORK-1972,Kushiel's Dart,,杰奎琳·凯里,Jacqueline Carey,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,L'Allegria.md,WL-WORK-1534,L'Allegria,,朱塞佩·翁加雷蒂,Giuseppe Ungaretti,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM
P2_EXTERNAL_MATCH_FRIENDLY,La cautiva.md,WL-WORK-2258,La cautiva,,埃斯特万·埃切维里亚,Echeverría,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,La guerra gaucha.md,WL-WORK-2259,La guerra gaucha,,莱奥波尔多·卢贡内斯,Lugones,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,La vuelta de Martín Fierro.md,WL-WORK-2263,La vuelta de Martín Fierro,,何塞·埃尔南德斯,Hernández,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO;WL-TOPIC-Q15-OUTLAW
S_SPECIAL_TEXT,Lancelot propre.md,WL-WORK-2265,Lancelot propre,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Las aventuras de la China Iron.md,WL-WORK-2267,Las aventuras de la China Iron,,加布里埃拉·卡贝松·卡马拉,Cabezón Cámara,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Le Capitan.md,WL-WORK-2269,Le Capitan,,米歇尔·泽瓦科,Le Capitan,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER
P2_EXTERNAL_MATCH_FRIENDLY,Legendary Tales of the Australian Aborigines.md,WL-WORK-1359,Legendary Tales of the Australian Aborigines,,戴维·乌奈庞,David Unaipon,,,batch3_source_refs,WL-TOPIC-G1-MYTH
P2_EXTERNAL_MATCH_FRIENDLY,Leila.md,WL-WORK-0933,Leila,,普拉亚格·阿克巴尔,Prayaag Akbar,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA
P2_EXTERNAL_MATCH_FRIENDLY,Lendas do Sul.md,WL-WORK-2271,Lendas do Sul,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,"Letters Written during a Short Residence in Sweden, Norway, and Denmark.md",WL-WORK-1360,"Letters Written during a Short Residence in Sweden, Norway, and Denmark",,玛丽·沃斯通克拉夫特,Mary Wollstonecraft,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
S_SPECIAL_TEXT,Libro del caballero Zifar.md,WL-WORK-2272,Libro del caballero Zifar,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Limbo.md,WL-WORK-0934,Limbo,,伯纳德·沃尔夫,Bernard Wolfe,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA
P2_EXTERNAL_MATCH_FRIENDLY,Little Big Man.md,WL-WORK-2273,Little Big Man,,托马斯·伯杰,Thomas Berger,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Lone Women.md,WL-WORK-2274,Lone Women,,维克多·拉瓦勒,Victor LaValle,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Long John Silver.md,WL-WORK-2275,Long John Silver,,比约恩·拉尔森,Björn Larsson,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE
P2_EXTERNAL_MATCH_FRIENDLY,Looking for Transwonderland／ Travels in Nigeria.md,WL-WORK-1361,Looking for Transwonderland: Travels in Nigeria,Looking for Transwonderland,努·萨罗-维瓦,Noo Saro-Wiwa,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
P2_EXTERNAL_MATCH_FRIENDLY,Los bandidos de Río Frío.md,WL-WORK-2276,Los bandidos de Río Frío,,曼努埃尔·派诺,Manuel Payno,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Los caranchos de La Florida.md,WL-WORK-2277,Los caranchos de La Florida,,贝尼托·林奇,Benito Lynch,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Los tres gauchos orientales.md,WL-WORK-2278,Los tres gauchos orientales,,安东尼奥·卢西奇,Lussich,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Lost in the Barrens.md,WL-WORK-0508,Lost in the Barrens,,法利·莫厄特,Farley Mowat,,,batch1_source_refs,WL-TOPIC-G45-ADVENTURE
P2_EXTERNAL_MATCH_FRIENDLY,Love Only Once.md,WL-WORK-1973,Love Only Once,,约翰娜·林赛,Johanna Lindsey,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P3_GENERAL_REVIEW,Lumpérica.md,WL-WORK-1535,Lumpérica,,迪亚梅拉·埃尔蒂特,,,,batch4_source_refs,WL-TOPIC-R6-LATAM
P2_EXTERNAL_MATCH_FRIENDLY,Maid Marian.md,WL-WORK-2279,Maid Marian,,托马斯·洛夫·皮科克,Peacock,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Malaeska.md,WL-WORK-2280,Malaeska,,安·S.斯蒂芬斯,Ann S. Stephens,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Manhunt.md,WL-WORK-0509,Manhunt,,格蕾琴·费尔克-马丁,Gretchen Felker-Martin,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P2_EXTERNAL_MATCH_FRIENDLY,Masterman Ready.md,WL-WORK-0510,Masterman Ready,,弗雷德里克·马里亚特,Marryat,,,batch1_source_refs,WL-TOPIC-G45-ADVENTURE
P2_EXTERNAL_MATCH_FRIENDLY,Merlin.md,WL-WORK-2282,Merlin,,T.H.怀特,T.H. White,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
S_SPECIAL_TEXT,Michael Howe.md,WL-WORK-2284,Michael Howe,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Minty Alley.md,WL-WORK-1536,Minty Alley,,C.L.R.詹姆斯,C. L. R. James,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM
P2_EXTERNAL_MATCH_FRIENDLY,Missionary Travels and Researches in South Africa.md,WL-WORK-1362,Missionary Travels and Researches in South Africa,Missionary Travels,戴维·利文斯通,Livingstone,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
P2_EXTERNAL_MATCH_FRIENDLY,Monte Walsh.md,WL-WORK-2286,Monte Walsh,,杰克·谢弗,Jack Schaefer,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN;WL-TOPIC-Q15-PIRATE
P2_EXTERNAL_MATCH_FRIENDLY,Morgante.md,WL-WORK-2287,Morgante,,路易吉·普尔奇,Luigi Pulci,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
S_SPECIAL_TEXT,Mort Artu.md,WL-WORK-2288,Mort Artu,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P3_GENERAL_REVIEW,"Murambi, The Book of Bones.md",WL-WORK-1974,"Murambi, The Book of Bones",Murambi,相关研究也将,,,,batch5_source_refs,WL-TOPIC-Q6-WAR
P2_EXTERNAL_MATCH_FRIENDLY,My Side of the Mountain.md,WL-WORK-0513,My Side of the Mountain,,琼·克雷格黑德·乔治,Jean Craighead George,,,batch1_source_refs,WL-TOPIC-G45-ADVENTURE
P2_EXTERNAL_MATCH_FRIENDLY,Nativa.md,WL-WORK-2289,Nativa,,阿塞韦多·迪亚斯,Acevedo Díaz,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Naufragios.md,WL-WORK-0515,Naufragios,,卡贝萨·德·巴卡,Cabeza de Vaca,,,batch1_source_refs;batch3_source_refs;batch6_source_refs,WL-TOPIC-G45-ADVENTURE;WL-TOPIC-G7-TRAVEL;WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P1_CANON_AWARD,Nervous Conditions.md,WL-WORK-0936,Nervous Conditions,,齐齐·丹加雷姆加,Tsitsi Dangarembga,CANON-261,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN
P2_EXTERNAL_MATCH_FRIENDLY,News of the World.md,WL-WORK-2290,News of the World,,波莱特·贾尔斯,Paulette Jiles,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,No-No Boy.md,WL-WORK-0937,No-No Boy,,约翰·冈田,John Okada,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN
P2_EXTERNAL_MATCH_FRIENDLY,O Cabeleira.md,WL-WORK-2291,O Cabeleira,,富兰克林·塔沃拉,Franklin Távora,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,O Gaúcho.md,WL-WORK-2292,O Gaúcho,,若泽·德·阿伦卡尔,José de Alencar,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Observations.md,WL-WORK-1537,Observations,,玛丽安娜·穆尔,Marianne Moore,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM
P2_EXTERNAL_MATCH_FRIENDLY,Old Jules.md,WL-WORK-2293,Old Jules,,玛丽·桑多兹,Mari Sandoz,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,On Stranger Tides.md,WL-WORK-2294,On Stranger Tides,,蒂姆·鲍尔斯,Tim Powers,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE
P2_EXTERNAL_MATCH_FRIENDLY,Our Sunshine.md,WL-WORK-2296,Our Sunshine,,罗伯特·德鲁,Robert Drewe,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Outlawed.md,WL-WORK-2297,Outlawed,,安娜·诺斯,Anna North,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Palmerín de Inglaterra.md,WL-WORK-2298,Palmerín de Inglaterra,,弗朗西斯科·德·莫拉埃斯,Francisco de Moraes,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
S_SPECIAL_TEXT,Palmerín de Oliva.md,WL-WORK-2299,Palmerín de Oliva,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Paradise Sky.md,WL-WORK-2300,Paradise Sky,,乔·R.兰斯代尔,Joe R. Lansdale,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Parzival.md,WL-WORK-2301,Parzival,,沃尔夫拉姆·冯·埃申巴赫,Wolfram的,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Paulino Lucero.md,WL-WORK-2302,Paulino Lucero,,阿斯卡苏比,Ascasubi,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
P2_EXTERNAL_MATCH_FRIENDLY,Peregrine's Progress.md,WL-WORK-2305,Peregrine's Progress,,杰弗里·法诺尔,Farnol,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER
S_SPECIAL_TEXT,Perlesvaus ／ The High Book of the Grail.md,WL-WORK-2306,Perlesvaus / The High Book of the Grail,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Persian Pictures.md,WL-WORK-1364,Persian Pictures,,格特鲁德·贝尔,Gertrude Bell,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
P2_EXTERNAL_MATCH_FRIENDLY,Personal Narrative.md,WL-WORK-1365,Personal Narrative,,亚历山大·冯·洪堡,Humboldt,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
P2_EXTERNAL_MATCH_FRIENDLY,Polynesian Mythology.md,WL-WORK-1367,Polynesian Mythology,,乔治·格雷,George Grey,,,batch3_source_refs,WL-TOPIC-G1-MYTH
S_SPECIAL_TEXT,Prose Tristan.md,WL-WORK-2310,Prose Tristan,,佚名,Prose Tristan,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,QualityLand.md,WL-WORK-0939,QualityLand,,马克-乌韦·克林,Marc-Uwe Kling,,,batch2_source_refs,WL-TOPIC-G46-DYSTOPIA
S_SPECIAL_TEXT,Queste del Saint Graal.md,WL-WORK-2311,Queste del Saint Graal,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Radiance.md,WL-WORK-1976,Radiance,,格蕾丝·德雷文,Grace Draven,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Ragged Dick.md,WL-WORK-0940,Ragged Dick,,霍雷肖·阿尔杰,Horatio Alger,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN
P2_EXTERNAL_MATCH_FRIENDLY,Ramrod.md,WL-WORK-2312,Ramrod,,卢克·肖特,Luke Short,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
S_SPECIAL_TEXT,Raoul de Cambrai.md,WL-WORK-2313,Raoul de Cambrai,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,"Red, White & Royal Blue.md",WL-WORK-1977,"Red, White & Royal Blue",,凯西·麦奎斯顿,Casey McQuiston,,,batch5_source_refs,WL-TOPIC-Q2-LOVE
P2_EXTERNAL_MATCH_FRIENDLY,Redeployment.md,WL-WORK-1978,Redeployment,,菲尔·克莱,Phil Klay,,,batch5_source_refs,WL-TOPIC-Q6-WAR
S_SPECIAL_TEXT,Renaud de Montauban ／ The Four Sons of Aymon.md,WL-WORK-2314,Renaud de Montauban / The Four Sons of Aymon,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Reservation Blues.md,WL-WORK-2315,Reservation Blues,,谢尔曼·阿莱克西,Sherman Alexie,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,Riders of the Silences.md,WL-WORK-2317,Riders of the Silences,,马克斯·布兰德,Max Brand,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN
P2_EXTERNAL_MATCH_FRIENDLY,"Rinaldo Rinaldini, the Robber Captain.md",WL-WORK-2319,"Rinaldo Rinaldini, the Robber Captain",,克里斯蒂安·奥古斯特·武尔皮乌斯,Christian August Vulpius,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Rinaldo Rinaldini.md,WL-WORK-2318,Rinaldo Rinaldini,,克里斯蒂安·奥古斯特·武尔皮乌斯,Christian August Vulpius,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Ring Shout.md,WL-WORK-0516,Ring Shout,,P.杰利·克拉克,P. Djèlí Clark,,,batch1_source_refs,WL-TOPIC-G45-HORROR
P3_GENERAL_REVIEW,Robbery Under Arms.md,WL-WORK-2320,Robbery Under Arms,,澳大利亚,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
P2_EXTERNAL_MATCH_FRIENDLY,Robin and the King.md,WL-WORK-2321,Robin and the King,,帕克·戈德温,Parke Godwin,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
S_SPECIAL_TEXT,Robin Hood and Guy of Gisborne.md,WL-WORK-2322,Robin Hood and Guy of Gisborne,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
S_SPECIAL_TEXT,Robin Hood and the Curtal Friar.md,WL-WORK-2323,Robin Hood and the Curtal Friar,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
S_SPECIAL_TEXT,Robin Hood and the Golden Arrow.md,WL-WORK-2324,Robin Hood and the Golden Arrow,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
S_SPECIAL_TEXT,Robin Hood and the Monk.md,WL-WORK-2325,Robin Hood and the Monk,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
S_SPECIAL_TEXT,Robin Hood and the Potter.md,WL-WORK-2326,Robin Hood and the Potter,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
S_SPECIAL_TEXT,Robin Hood's Death.md,WL-WORK-2327,Robin Hood's Death,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW
S_SPECIAL_TEXT,Roman d'Alexandre.md,WL-WORK-2328,Roman d'Alexandre,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
S_SPECIAL_TEXT,Roman d'Enéas.md,WL-WORK-2329,Roman d'Enéas,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Roman de Brut.md,WL-WORK-2330,Roman de Brut,,瓦斯,Wace,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Roman de Silence.md,WL-WORK-2331,Roman de Silence,,康沃尔的埃尔德里斯,Heldris of Cornwall,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
S_SPECIAL_TEXT,Roman de Thèbes.md,WL-WORK-2332,Roman de Thèbes,,佚名,,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Roman de Troie.md,WL-WORK-2333,Roman de Troie,,伯努瓦·德·圣莫尔,Benoît de Sainte-Maure,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT
P2_EXTERNAL_MATCH_FRIENDLY,Rubyfruit Jungle.md,WL-WORK-0941,Rubyfruit Jungle,,丽塔·梅·布朗,Rita Mae Brown,,,batch2_source_refs,WL-TOPIC-G43-BILDUNGSROMAN
P2_EXTERNAL_MATCH_FRIENDLY,Russian Folk Belief.md,WL-WORK-1369,Russian Folk Belief,,琳达·伊万尼茨,Linda Ivanits,,,batch3_source_refs,WL-TOPIC-G1-MYTH
P2_EXTERNAL_MATCH_FRIENDLY,Safarnama ／ 旅行记.md,WL-WORK-1370,Safarnama / 旅行记,Safarnama,纳赛尔·霍斯陆,Nasir Khusraw,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL
P2_EXTERNAL_MATCH_FRIENDLY,Santos Vega o los mellizos de la Flor.md,WL-WORK-2337,Santos Vega o los mellizos de la Flor,,阿斯卡苏比,Ascasubi,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO
